type;code;name;
Character(36,0);Character(11,0);Character(60,0);
NOT NULL;NOT NULL;NOT NULL;
Справочник.ПроизводителиНоменклатуры;00000001322;AKS DASIS;
Справочник.ПроизводителиНоменклатуры;00000001322;AKS DASIS;
Справочник.ПроизводителиНоменклатуры;00000000853;Aktas;
Справочник.ПроизводителиНоменклатуры;00000000853;Aktas;
Справочник.ПроизводителиНоменклатуры;00000003584;Aktruck;
Справочник.ПроизводителиНоменклатуры;00000003584;Aktruck;
Справочник.ПроизводителиНоменклатуры;00000002814;AKUSAN;
Справочник.ПроизводителиНоменклатуры;00000002814;AKUSAN;
Справочник.ПроизводителиНоменклатуры;00000002814;AKUSAN;
Справочник.ПроизводителиНоменклатуры;00000001454;ALANKO;
Справочник.ПроизводителиНоменклатуры;00000001454;ALANKO;
Справочник.ПроизводителиНоменклатуры;00000002215;ALBARET;
Справочник.ПроизводителиНоменклатуры;00000002215;ALBARET;
Справочник.ПроизводителиНоменклатуры;00000002215;ALBARET;
Справочник.ПроизводителиНоменклатуры;00000003426;ALCA;
Справочник.ПроизводителиНоменклатуры;00000003426;ALCA;
Справочник.ПроизводителиНоменклатуры;00000000911;Alcan;
Справочник.ПроизводителиНоменклатуры;00000000911;Alcan;
Справочник.ПроизводителиНоменклатуры;00000000911;Alcan;
Справочник.ПроизводителиНоменклатуры;00000001026;ALCO;
Справочник.ПроизводителиНоменклатуры;00000001026;ALCO;
Справочник.ПроизводителиНоменклатуры;00000001026;ALCO;
Справочник.ПроизводителиНоменклатуры;00000002277;Alfa Car;
Справочник.ПроизводителиНоменклатуры;00000002277;Alfa Car;
Справочник.ПроизводителиНоменклатуры;00000002277;Alfa Car;
Справочник.ПроизводителиНоменклатуры;00000001128;ALFA FILTER;
Справочник.ПроизводителиНоменклатуры;00000001128;ALFA FILTER;
Справочник.ПроизводителиНоменклатуры;00000001128;ALFA FILTER;
Справочник.ПроизводителиНоменклатуры;00000001128;ALFA FILTER;
Справочник.ПроизводителиНоменклатуры;00000002009;ALFA ROMEO;
Справочник.ПроизводителиНоменклатуры;00000002009;ALFA ROMEO;
Справочник.ПроизводителиНоменклатуры;00000002009;ALFA ROMEO;
Справочник.ПроизводителиНоменклатуры;00000002639;ALFAROME/FIAT/LANCI;
Справочник.ПроизводителиНоменклатуры;00000002639;ALFAROME/FIAT/LANCI;
Справочник.ПроизводителиНоменклатуры;00000002639;ALFAROME/FIAT/LANCI;
Справочник.ПроизводителиНоменклатуры;00000002073;ALFRED HEYD;
Справочник.ПроизводителиНоменклатуры;00000002073;ALFRED HEYD;
Справочник.ПроизводителиНоменклатуры;00000002073;ALFRED HEYD;
Справочник.ПроизводителиНоменклатуры;00000000669;Alhu tech;
Справочник.ПроизводителиНоменклатуры;00000000669;Alhu tech;
Справочник.ПроизводителиНоменклатуры;00000003481;ALIGATOR;
Справочник.ПроизводителиНоменклатуры;00000003481;ALIGATOR;
Справочник.ПроизводителиНоменклатуры;00000001388;ALKAR;
Справочник.ПроизводителиНоменклатуры;00000001388;ALKAR;
Справочник.ПроизводителиНоменклатуры;00000001319;AL-KO;
Справочник.ПроизводителиНоменклатуры;00000001319;AL-KO;
Справочник.ПроизводителиНоменклатуры;00000003095;ALL4MOTORS;
Справочник.ПроизводителиНоменклатуры;00000003409;ALLETEILE;
Справочник.ПроизводителиНоменклатуры;00000003409;ALLETEILE;
Справочник.ПроизводителиНоменклатуры;00000003020;ALLIED NIPPON;
Справочник.ПроизводителиНоменклатуры;00000001858;ALLIS-CHALMERS;
Справочник.ПроизводителиНоменклатуры;00000001858;ALLIS-CHALMERS;
Справочник.ПроизводителиНоменклатуры;00000001858;ALLIS-CHALMERS;
Справочник.ПроизводителиНоменклатуры;00000001213;ALON;
Справочник.ПроизводителиНоменклатуры;00000001213;ALON;
Справочник.ПроизводителиНоменклатуры;00000001763;ALP;
Справочник.ПроизводителиНоменклатуры;00000001763;ALP;
Справочник.ПроизводителиНоменклатуры;00000002057;ALSA;
Справочник.ПроизводителиНоменклатуры;00000002057;ALSA;
Справочник.ПроизводителиНоменклатуры;00000002057;ALSA;
Справочник.ПроизводителиНоменклатуры;00000001732;AMC Filter;
Справочник.ПроизводителиНоменклатуры;00000001732;AMC Filter;
Справочник.ПроизводителиНоменклатуры;00000001732;AMC Filter;
Справочник.ПроизводителиНоменклатуры;00000003200;AMD;
Справочник.ПроизводителиНоменклатуры;00000002424;A-MEGA PREMIUM;
Справочник.ПроизводителиНоменклатуры;00000002424;A-MEGA PREMIUM;
Справочник.ПроизводителиНоменклатуры;00000003497;AMFOX;
Справочник.ПроизводителиНоменклатуры;00000003497;AMFOX;
Справочник.ПроизводителиНоменклатуры;00000003234;AMG;
